               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10901,            0.014943,            0.078962,            0.010384,             0.39258,            0.013378,           0.0021263,            0.062679,            0.010931,            0.049766,              0.0982,              0.0002,              0.0002
                   1,             0.10581,            0.014239,            0.074973,            0.010703,             0.41432,            0.016043,           0.0025931,            0.059958,            0.011282,            0.049461,            0.095499,          0.00049901,          0.00049901
                   2,             0.10064,            0.016799,            0.078851,            0.013258,              0.5243,            0.024121,           0.0035378,            0.056201,            0.011769,            0.049033,            0.092797,          0.00079683,          0.00079683
                   3,            0.097614,            0.017102,            0.072287,            0.014586,             0.61893,             0.04414,           0.0060649,            0.053403,            0.012075,            0.048495,            0.090093,           0.0010935,           0.0010935
                   4,            0.090645,            0.021809,            0.071407,            0.018011,             0.80179,            0.057941,           0.0090513,            0.050728,            0.012415,            0.047911,            0.087389,           0.0013889,           0.0013889
                   5,            0.080614,            0.018134,            0.065926,            0.016759,             0.78005,            0.056834,           0.0092443,            0.050385,            0.012397,            0.047224,            0.084683,           0.0016832,           0.0016832
                   6,            0.076766,            0.025007,            0.063612,            0.016139,             0.82353,            0.072716,            0.012537,             0.04987,            0.012411,            0.046348,            0.081976,           0.0019762,           0.0019762
                   7,            0.071808,            0.022406,             0.05789,            0.017109,             0.89003,            0.076011,            0.013147,            0.049001,            0.012478,            0.045589,            0.079268,           0.0022681,           0.0022681
                   8,            0.073101,            0.024935,             0.05674,            0.015863,             0.94118,              0.1063,             0.01903,            0.047969,             0.01255,            0.043787,            0.076559,           0.0025588,           0.0025588
                   9,            0.070364,            0.026995,             0.05485,            0.015385,                   1,             0.12485,            0.024428,            0.046395,            0.012654,             0.04225,            0.073848,           0.0028483,           0.0028483
                  10,             0.06613,            0.024872,            0.049955,            0.060505,             0.62532,             0.16359,            0.065221,            0.043118,              0.0124,            0.036543,            0.071137,           0.0031366,           0.0031366
                  11,            0.062993,            0.023727,            0.048905,             0.26513,             0.15217,             0.21468,            0.077799,            0.043476,            0.011901,            0.035285,            0.068424,           0.0034238,           0.0034238
                  12,            0.063771,             0.02575,            0.044607,             0.14875,              0.3913,             0.23926,            0.084107,            0.044704,            0.010765,            0.030295,             0.06571,           0.0037097,           0.0037097
                  13,            0.060634,            0.019789,            0.040501,             0.14106,             0.76471,             0.19725,            0.084248,            0.041338,            0.010959,            0.028168,            0.062994,           0.0039945,           0.0039945
                  14,            0.062631,             0.02296,            0.039929,              0.0764,             0.67008,             0.10261,            0.032843,            0.049064,            0.010392,            0.025904,            0.060278,            0.004278,            0.004278
                  15,            0.069342,            0.018738,            0.036471,             0.23603,             0.73529,             0.42729,             0.12191,            0.045354,            0.010389,            0.025982,             0.05756,           0.0045604,           0.0045604
                  16,            0.060022,            0.017514,            0.032802,             0.14762,             0.66496,             0.22929,            0.079183,            0.053689,            0.011485,            0.026718,            0.054842,           0.0048416,           0.0048416
                  17,            0.069664,             0.01632,            0.033779,             0.21201,             0.86189,             0.27768,             0.11737,            0.053096,            0.011828,            0.026896,            0.052122,           0.0051216,           0.0051216
                  18,            0.063425,             0.01737,             0.03259,             0.22471,             0.79412,             0.34315,            0.091312,            0.046152,              0.0109,            0.026449,              0.0494,           0.0054004,           0.0054004
                  19,            0.061621,            0.015369,            0.033586,             0.42869,              0.8359,             0.58645,             0.19726,             0.05154,            0.010703,            0.025924,            0.046678,            0.005678,            0.005678
                  20,            0.057456,            0.017586,            0.034791,             0.31922,             0.81074,             0.38027,             0.15469,            0.052193,            0.010611,             0.02499,            0.043954,           0.0059545,           0.0059545
                  21,            0.062614,            0.015923,            0.030332,             0.40449,             0.81716,             0.59267,             0.28131,             0.04594,           0.0091798,            0.023981,             0.04123,           0.0062297,           0.0062297
                  22,            0.054979,             0.01702,             0.03376,             0.30931,             0.73529,             0.46331,             0.17169,            0.049985,           0.0091365,            0.023252,            0.038504,           0.0065038,           0.0065038
                  23,            0.067263,            0.015698,            0.032359,             0.15605,             0.88235,             0.21639,            0.086639,            0.046536,           0.0082292,            0.022756,            0.035777,           0.0067767,           0.0067767
                  24,             0.06058,             0.01734,            0.032298,             0.84601,             0.23913,              0.4021,             0.11962,            0.052305,           0.0077191,             0.02191,            0.033048,           0.0070484,           0.0070484
                  25,            0.064702,             0.01602,            0.030591,             0.84771,             0.39724,             0.53824,             0.16702,            0.040365,           0.0070798,            0.021592,            0.030319,           0.0073188,           0.0073188
                  26,            0.056731,             0.01734,            0.032243,             0.25927,             0.94118,             0.60286,             0.19973,            0.041443,           0.0071524,            0.021494,            0.027588,           0.0075882,           0.0075882
                  27,            0.056067,             0.01758,            0.031668,             0.22048,             0.83887,             0.38847,              0.1064,            0.042847,           0.0068406,            0.021741,            0.024856,           0.0078563,           0.0078563
                  28,            0.064765,            0.016195,            0.032404,             0.22048,             0.83887,             0.38847,              0.1064,            0.042847,           0.0068406,            0.021741,            0.022123,           0.0081232,           0.0081232
                  29,            0.063072,            0.015861,             0.03006,              0.2532,             0.89989,             0.55087,             0.24681,            0.048207,             0.00663,            0.021491,            0.019389,            0.008389,            0.008389
